# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"CP740309"	"CP62258"	"CP650357"
"CP740312"	"CP62258"	"L65069"
"CP740315"	"CP62258"	"CP650357"
"CP740319"	"L62096"	"CP650357"
"CP740321"	"L62086"	"CP650357"
"CP740322"	"L62086"	"CP650357"
"CP740328"	"L62086"	"CP650357"
"CP740336"	"CP62258"	"L64030"
"CP740339"	"CP62258"	"CP55030"
"CP740343"	"CP62258"	"CP55030"
"CP740358"	"L62096"	"CP55030"
"CP740362"	"CP57614"	"CP650357"
"CP740383"	"L65069"	"CP650357"
"CP740384"	"L65069"	"CP650357"
"CP740385"	"L65069"	"CP650357"
"CP740386"	"L65069"	"CP650357"
"CP740387"	"L65069"	"CP650357"
"CP740389"	"L65069"	"CP650357"
"CP740396"	"L65069"	"CP650357"
"CP740398"	"CP57614"	"CP650357"
"CP741210"	NA	NA
"CP742005"	"CP63588"	"CP661043"
"CP742013"	"CP681026"	"CP691059"
"CP750300"	"L65069"	"CP660346"
"CP750308"	"L65069"	"CP660346"
"CP750309"	"L65069"	"CP660346"
"CP750319"	"CP57614"	"CP61037"
"CP750324"	"L65069"	"CP650357"
"CP750327"	"L65069"	"CP650357"
"CP750330"	"L65069"	"CP650357"
"CP750332"	"L65069"	"CP650357"
"CP750343"	"L65069"	"CP650357"
"CP750344"	"L65069"	"CP650357"
"CP750351"	"L62096"	"CP640388"
"CP750360"	"L62096"	"CP670430"
"CP750361"	"CP57526"	"CP650357"
"CP750365"	"CP57526"	"CP650357"
"CP750366"	"CP57526"	"CP650357"
"CP750372"	"CP57526"	"CP650357"
"CP750373"	"L62096"	"CP650357"
"CP751082"	"CP701133"	"CP681067"
"CP751091"	"CP701133"	"CP681067"
"CP751283"	"CP681026"	"CP701233"
"CP751322"	"CP57614"	"CP691059"
"CP760300"	"CP57614"	"CP650357"
"CP760301"	"CP670412"	"CP52068"
"CP760302"	"L65069"	"CP660346"
"CP760304"	"CP57614"	"CP650357"
"CP760306"	"CP670412"	"CP52068"
"CP760312"	"CP680350"	"L65069"
"CP760313"	"CP680350"	"CP650357"
"CP760328"	"L65069"	"CP650357"
"CP760330"	"L65069"	"CP650357"
"CP760331"	"L65069"	"CP650357"
"CP760340"	"L65069"	"CP650357"
"CP760343"	"L65069"	"CP650357"
"CP760350"	"CP660346"	"CP660376"
"CP760351"	"L65069"	"CP650357"
"CP760354"	"CP670411"	"CP650357"
"CP760355"	"CP670424"	"CP660346"
"CP760356"	"CP670424"	"CP660346"
"CP770302"	"CP680350"	"CP650357"
"CP770303"	"CP680350"	"CP650357"
"CP770306"	"CP660315"	"CP710443"
"CP770307"	"CP660315"	"CP710443"
"CP770308"	"CP710405"	"CP660315"
"CP770310"	"L65069"	"CP52068"
"CP770313"	"CP710405"	"CP710453"
"CP770314"	"CP680350"	"CP52068"
"CP770315"	"CP710424"	"CP52068"
"CP770331"	"CP690338"	"CP700401"
"CP770334"	"CP700401"	"CP650357"
"CP770400"	"CP710400"	"CP660315"
"CP770401"	"CP710400"	"CP660315"
"CP770402"	"CP710405"	"CP710404"
"CP770403"	"CP690338"	"CP710404"
"CP770405"	"CP710424"	"CP52068"
"CP770406"	"CP710424"	"CP660315"
"CP770407"	"CP660315"	"CP710421"
"CP770410"	"CP710419"	"CP690349"
"CP770411"	"CP710419"	"CP690380"
"CP770413"	"CP710411"	"CP690380"
"CP770414"	"CP710471"	"CP690380"
"CP770415"	"CP690338"	"CP710443"
"CP770416"	"CP690338"	"US67272"
"CP770417"	"L65069"	"CP710405"
"CP770418"	"CP710419"	"CP690380"
"CP770422"	NA	NA
"CP771446"	"CP63306"	"CP691062"
"CP771776"	"CP681022"	"CP681067"
"CP780303"	"CP710441"	"CP650357"
"CP780304"	"CP710441"	"CP650357"
"CP780310"	"L65069"	"CP650357"
"CP780311"	"CP710399"	"CP650357"
"CP780313"	"CP710441"	"CP650357"
"CP780314"	"L65069"	"CP710445"
"CP780317"	"L65069"	"CP710441"
"CP780318"	"L65069"	"CP710441"
"CP780321"	"L65069"	"CP52068"
"CP780322"	"L65069"	"CP52068"
"CP780323"	"CP710300"	"CP710318"
"CP780324"	"CP690380"	"CP680383"
"CP780325"	"CP700330"	"CP650357"
"CP780326"	"CP670411"	"CP650357"
"CP780328"	"CP660346"	"CP650357"
"CP780329"	"CP690380"	"CP690367"
"CP780334"	"CP700330"	"CP650357"
"CP780335"	"CP700330"	"CP650357"
"CP780337"	"CP700300"	"CP650357"
"CP780338"	"CP700300"	"CP690380"
"CP780341"	"CP660346"	"CP52068"
"CP780343"	"CP660346"	"CP650357"
"CP780344"	"L62096"	"CP680383"
"CP780348"	"CP690380"	"CP650357"
"CP780349"	"CP690380"	"CP650357"
"CP780350"	"US681414"	"CP650357"
"CP780351"	"US681414"	"CP650357"
"CP780353"	"CP700401"	"US74011"
"CP780355"	"CP700401"	"US74010"
"CP780357"	"US74005"	"L61067"
"CP780360"	"US74014"	"CP650357"
"CP780361"	"US68165"	"CP650357"
"CP780403"	NA	NA
"CP781140"	"CP691052"	"73P2"
"CP781247"	"CP681022"	"CP681067"
"CP781610"	NA	NA
"CP781628"	"CP681026"	"CP650357"
"CP78POLY08"	NA	NA
"CP790300"	"L65069"	"CP650357"
"CP790301"	"L65069"	"CP650357"
"CP790302"	"CP670411"	"CP650357"
"CP790304"	"CP670411"	"CP650357"
"CP790309"	"L65069"	"CP650357"
"CP790311"	"CP670411"	"CP650357"
"CP790314"	"L65069"	"CP650357"
